Bug - ID Global,Equipo Reporta,Bug - ID Equipo,Titulo Story,Sprint detectado,Severidad,Prioridad,Titulo Bug,Descripción Bug,STR,Tipo de bug,Navegador utilizado,Evidencia adicional,Estado,Fecha de Descubrimiento,Fecha de corrección,Versión de Release,
BUG-011,QA-7,BUG-014,US-11: Visualización del Dashboard de Mis Cursos,2,Crítico,P1,Block - botón Corregir no permite ingresar a exámenes,El sistema no permite ingresar a los exámenes con el botón de corregir.,"01: Ingresar al menú de correcciones pendientes.
02: Clickear en el botón de Corregir.",Funcional,No informado,Link a las imágenes,Fixed,25/05/2026,04/06/2026,Version 1.3.0,
BUG-012,QA-2,BUG-004,Autorización por roles en endpoints protegidos,3,Alto,P2,Endpoints con @PreAuthorize devuelven HTTP 500 en vez de 403 cuando el rol no autoriza,"Cuando un usuario autenticado pero con rol insuficiente accede a un endpoint anotado con @PreAuthorize, Spring Security lanza AccessDeniedException, pero el GlobalExceptionHandler no la maneja específicamente. La excepción cae al handler genérico Exception.class y devuelve HTTP 500 con un mensaje vago. El comportamiento correcto es HTTP 403 Forbidden. Esto rompe el contrato de la API: el cliente cree que el server tiene un bug interno cuando en realidad lo que falta son permisos. Descubierto al ejecutar TC-F-LOG-05 contra GET /api/exams con un token de ALUMNO (endpoint que pide DOCENTE).","1. Loguearse como ALUMNO vía POST /api/auth/login (o /api/auth/register).
2. Tomar el token del response.
3. GET /api/exams con header Authorization: Bearer <token>.
4. Observar la respuesta: viene HTTP 500 cuando debería ser HTTP 403.
5. Reproducir con GET /api/exams/my-exams (mismo patrón).",Funcional,N/A — test ejecutado vía pytest + requests contra API,"evidencia/BUG-004_preauthorize_devuelve_500.txt
Reporte_Bugs_Login_Automaticos.docx",Fixed,25/05/2026,04/06/2026,v1.3,
BUG-013,QA-2,BUG-005,US-04: Login del Alumno con usuario UADE,3,Bajo,P3,AuthResponse del login UADE no devuelve el campo legajo,"El endpoint POST /api/auth/login-uade autentica correctamente pero el DTO AuthResponse no incluye el campo 'legajo'. El frontend hace persistSession asumiendo que viene en el response, pero como es undefined se omite y el legajo no queda persistido en localStorage.","1. POST /api/auth/login-uade con legajo, email y password válidos
2. Inspeccionar el JSON del response
3. Verificar que NO hay campo 'legajo'
4. Loguearse vía UI y abrir localStorage en DevTools
5. Inspeccionar la entrada 'user' → no contiene legajo",Funcional,N/A — test ejecutado vía pytest + requests contra API,https://drive.google.com/file/d/1ukkAEQPVU-6Q0cgWaTYmz_SQpKUnTsIA/view?usp=share_link,Fixed,25/05/2026,04/06/2026,Version 1.3.2,
BUG-014,QA-2,BUG-006,Validación débil de contraseña en registro,3,Medio,P2,El sistema permite crear contraseñas inseguras sin validaciones de complejidad,"El formulario de registro permite crear cuentas utilizando contraseñas extremadamente débiles como “cc”, ya que actualmente no existen validaciones de complejidad mínimas. Esto representa un riesgo de seguridad y una mala práctica de autenticación. La contraseña debería exigir al menos una combinación de mayúsculas, minúsculas, números y caracteres especiales para garantizar un nivel básico de seguridad en las credenciales de los usuarios.","1. Ingresar a la pantalla de registro.
2. Completar los datos obligatorios.
3. Ingresar una contraseña simple, por ejemplo: 'cc'.
4. Confirmar la misma contraseña.
5. Enviar el formulario.
6. Verificar que la cuenta se crea correctamente sin mostrar errores de validación.",Improvement,Frontend Web — validación realizada desde UI en Google ChromePI,Reporte BUG-006.docx,Fixed,25/05/2026,04/06/2026,v1.3,
BUG-015,QA-3,BUG-003,"US-10: Registro de nuevo usuario
",3,Alto,P2,El sistema permite continuar con correo de recuperación igual al correo principal,"Al ingresar el mismo correo electrónico en el campo de mail principal y en el de recupero, el sistema crea la cuenta correctamente sin mostrar error, incumpliendo la validación requerida.","1. Ir a la pantalla de registro
2. Ingresar mail principal (ej: dxuhuang@uade.edu.ar)
3. Ingresar mail de recupero con el mismo valor
4. Completar el resto del formulario
5. Crear cuenta → el sistema lo permite sin error",Funcional,Google Chrome,no hay evidencia ,Fixed,31/05/2026,04/06/2026,Version 1.3.4,
BUG-016,QA-4,BUG-009,US-22: Organización de preguntas por temas,3,Alto,P1,El sistema no respeta el límite de 5 temas por examen,El sistema no respeta el límite de 5 temas por examen. Se pueden crear más de 5 temas sin restricción; el botón '+ Agregar tema' permanece habilitado y no se muestra mensaje de error.,"1. Crear examen
2. Agregar 5 temas consecutivamente
3. Intentar agregar un sexto tema
4. Verificar que el sistema lo permite sin error ni deshabilitar el botón",Funcional,Google Chrome,no hay evidencia ,Fixed,25/05/2026,04/06/2026,Version 1.3.5,
BUG-017,QA-4,BUG-010,US-23: Guardar examen como borrador,3,Alto,P1,No se puede retomar borrador de examen,El borrador de examen aparece guardado en el dashboard pero no se puede volver a editar. Al hacer click en el borrador el sistema no permite continuar con la edición.,"1. Crear un examen parcialmente
2. Guardar como borrador
3. Volver al dashboard
4. Hacer click en el borrador guardado
5. Verificar que no se puede seguir editando",Funcional,Google Chrome,no hay evidencia ,Fixed,25/05/2026,04/06/2026,Version 1.3.6,
BUG-018,QA-5,BUG-004,US-25: Generación de acceso por tema — Paso 3,3,Alto,P1,Botón 'Turno' no funcional: no navega a pantalla de generación de accesos,"Al hacer click en el botón 'Turno' de cualquier examen en la lista, el sistema no realiza ninguna navegación ni abre ningún modal. Las rutas directas /turno, /respuestas y /acceso redirigen a la lista de exámenes. La pantalla 'Generar Acceso' (Paso 3 del wizard) es completamente inaccesible.","1. Iniciar sesión como Docente
2. Navegar a Exámenes desde el menú lateral
3. Hacer click en el botón 'Turno' de cualquier examen
4. Observar que no ocurre ninguna navegación
5. Intentar acceder a /docente/examenes/{id}/turno directamente por URL
6. Verificar que redirige a la lista de exámenes",Funcional,Google Chrome 148.0.7778.179,https://drive.google.com/file/d/1yO-LjIsy_OJk6nrZcTCKp_CjvDzXn-FK/view?usp=sharing,Fixed,26/05/2026,04/06/2026,Version 1.3.7,
BUG-019,QA-4,BUG-005,US-16: Configuración inicial del examen — Paso 1,3,Medio,P2,Manejo de errores no claro en campos requeridos de preguntas,"Al intentar continuar con campos de enunciado vacíos, el sistema no indica claramente cuál es el error ni cuáles son los campos obligatorios. Los campos required deberían aparecer con asterisco rojo y mensaje descriptivo.","1. Crear examen
2. Agregar una pregunta sin completar el enunciado
3. Intentar continuar o guardar
4. Observar que no se indica claramente cuál es el error ni qué campos son obligatorios",UI/UX,Google Chrome,no hay evidencia ,Fixed,25/05/2026,04/06/2026,Version 1.3.8,
BUG-020,QA-7,SYS-004,US-01: Login del Docente con credenciales propias,3,Crítico,P1,El sistema almacena el rol del usuario en localStorage y permite escalada de privilegios,El sistema almacena información crítica del usuario (rol) en localStorage. Un usuario con rol ALUMNO puede cambiar manualmente el valor a 'DOCENTE' desde DevTools y acceder a información sensible del panel docente.,"1. Hacer login con una cuenta de alumno válida
2. Abrir herramientas de desarrollador del navegador
3. Ir a pestaña Almacenamiento > LocalStorage
4. Cambiar el rol del usuario a 'DOCENTE'
5. Verificar que se obtiene acceso al panel docente",Seguridad,No informado, https://docs.google.com/document/d/1yXYBzaQojRirmWGh9SCGH8N5vE71NOw88upMSLP-XsQ/edit?usp=sharing,Fixed,26/05/2026,04/06/2026,Version 1.3.9,
BUG-021,QA-7,DOC-013,US-20: Agregar preguntas de múltiple choice al examen,3,Medio,P2,El sistema permite agregar opciones de múltiple choice sin respetar el límite de 5,"Al crear una pregunta de tipo múltiple choice, el sistema permite agregar más de 5 opciones sin restricción ni mensaje de error, incumpliendo el criterio de aceptación que establece un máximo de 5 opciones.","1. Ir a la vista de crear examen
2. Agregar pregunta de tipo múltiple choice
3. Tocar el botón 'Agregar opción' hasta superar 5 opciones
4. Verificar que el sistema lo permite sin error",Funcional,No informado,https://docs.google.com/document/d/1yXYBzaQojRirmWGh9SCGH8N5vE71NOw88upMSLP-XsQ/edit?usp=sharing,Fixed,26/05/2026,04/06/2026,Version 1.3.10,
BUG-022,QA-7,SYS-005,US-04: Login del Alumno con usuario UADE,3,Alto,P1,Degradación severa del backend de login UADE bajo carga concurrente,"Al someter el endpoint /api/auth/login-uade a 20 usuarios virtuales concurrentes durante 1 minuto, el tiempo promedio de respuesta es de 35.43 segundos. El sistema rechaza conexiones por saturación de red y arroja caídas por timeout al agotarse el tiempo de espera.","1. Configurar script K6 con 20 usuarios virtuales concurrentes y 60 segundos de duración
2. Utilizar credenciales válidas de alumnos UADE
3. Ejecutar el comando k6 run script.js
4. Analizar el reporte de métricas HTTP",Performance,No informado,https://docs.google.com/document/d/1yXYBzaQojRirmWGh9SCGH8N5vE71NOw88upMSLP-XsQ/edit?usp=sharing,Fixed,26/05/2026,04/06/2026,Version 1.3.11,
BUG-023,QA-2,BUG-007,Login de Usuario,2,Bajo,P3,Elementos visuales presentan contraste insuficiente,Lighthouse reporta que determinados elementos de la interfaz no cumplen con la relación mínima de contraste entre texto y fondo recomendada por WCAG. Esto puede afectar la legibilidad para usuarios con dificultades visuales.,"1. Abrir Login.
2. Ejecutar Lighthouse.
3. Revisar sección Accessibility.
4. Observar alerta ""Background and foreground colors do not have a sufficient contrast ratio"".",Funcional,Chrome - Edge,Evaluación de UX/UI - Lighthouse,Nuevo,2026-05-25,,v1.3,
BUG-024,QA-2,BUG-008,Login de Usuario,2,Bajo,P4,Ausencia de landmark principal en la pantalla de Login,La auditoría realizada mediante Lighthouse detectó que la página de Login no contiene un elemento semántico principal (<main>). Esto dificulta la navegación mediante lectores de pantalla y herramientas de accesibilidad.,"1. Acceder a la pantalla Login.
2. Ejecutar Lighthouse.
3. Revisar Accessibility y Best Practices.
4. Observar el mensaje ""Document does not have a main landmark"".",Funcional,Chrome - Edge,Evaluación de UX/UI - Lighthouse,Nuevo,2026-05-25,,v1.3,
BUG-025,QA-2,BUG-011,Recuperación de Contraseña,4,Alto,P2,No se recibe el código de recuperación de contraseña en el correo electrónico,"Al solicitar la recuperación de contraseña mediante la funcionalidad ""Olvidé mi contraseña"", el sistema informa que el código fue enviado correctamente; sin embargo, el usuario no recibe ningún correo electrónico con el código de verificación necesario para continuar con el proceso de restablecimiento de contraseña.","1. Acceder a la pantalla de Login.
2. Seleccionar la opción ""Olvidé mi contraseña"".
3. Ingresar un correo electrónico registrado en el sistema.
4. Presionar el botón ""Enviar código"".
5. Revisar la bandeja de entrada del correo ingresado.
6. Verificar que no se recibe el código de recuperación.",Funcional,Frontend Web — validación realizada desde UI en Google ChromePI,https://drive.google.com/file/d/1a4HJzu-Xr1ThsGFFEbvwF71FrFNVAtTr/view?usp=drive_link,Nuevo,2026-06-07,,v1.5,
BUG-026,QA-2,BUG-017,US-07: Recuperación de contraseña — Envío del código,4,Alto,P1,forgot-password permite enumeración de usuarios (responde 401 vs 200),"El endpoint POST /api/auth/forgot-password devuelve respuestas distintas según el email exista o no: si existe → HTTP 200 {""maskedEmail"":""..."",""message"":""Código enviado correctamente""}; si no existe → HTTP 401 {""message"":""Credenciales incorrectas""} (PasswordResetService.java líneas 32-35 lanza UserNotFoundException). Esto reintroduce el problema de enumeración de usuarios que se había resuelto en BUG-001 para /login. El comportamiento correcto es responder siempre 200 con el mismo mensaje genérico (ej: 'Si el email está registrado, recibirás un código') para no revelar qué cuentas existen.","1. POST https://examia-backend-1zwg.onrender.com/api/auth/forgot-password
  Body: {""email"":""noexiste-zzz@uade.edu.ar""} → 401 'Credenciales incorrectas'.
2. POST mismo endpoint con {""email"":""pabfarias@uade.edu.ar""} → 200 con maskedEmail.
3. La discrepancia en status/body permite enumerar emails registrados.",Seguridad,N/A — test ejecutado vía curl + análisis estático de código,evidencia_v3/BUG-027.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-027,QA-2,BUG-018,US-08: Recuperación de contraseña — Validación del código OTP,4,Alto,P2,Expiración del código OTP es de 15 minutos pero el requisito (US-08) especifica 5 minutos,"PasswordResetService.java define EXPIRY_MINUTES = 15 (línea 29) y persiste el token con expiresAt = now + 15min. La US-08 establece explícitamente: 'El sistema debe avanzar al Paso 3 si el código es correcto y fue ingresado dentro de los 5 minutos' y 'El sistema debe mostrar un contador regresivo de 5 minutos'. Triple inconsistencia: (a) el backend permite usar el código mucho más tiempo del esperado, (b) ampliar la ventana incrementa la superficie de ataque por fuerza bruta sobre 6 dígitos, (c) si el frontend mostrara el contador de 5min se engañaría al usuario sobre el tiempo real disponible.","1. Inspeccionar Examia-Backend/src/main/java/com/examia/service/PasswordResetService.java
2. Ver constante 'private static final int EXPIRY_MINUTES = 15;' en línea 29.
3. Confrontar con criterio de aceptación de US-08 (5 minutos).",Funcional,N/A — test ejecutado vía curl + análisis estático de código,evidencia_v3/BUG-028.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-028,QA-2,BUG-019,US-08: Recuperación de contraseña — Validación del código OTP,4,Alto,P1,ForgotPasswordForm carece del contador regresivo del OTP (US-08 lo exige explícitamente),"El componente ForgotPasswordForm.jsx en el Paso 2 (verificación del código) no implementa ningún contador regresivo visible. La US-08 requiere: 'El sistema debe mostrar un contador regresivo de 5 minutos', 'El sistema debe deshabilitar los inputs cuando el tiempo expire' y 'El sistema debe mostrar el botón Reenviar código al finalizar el tiempo'. Actualmente el usuario no tiene ninguna indicación visual del tiempo restante; el botón 'Reenviar código' aparece de entrada (línea 275-295) sin esperar al timeout.","1. Abrir Examia-Frontend/src/presentation/components/ForgotPasswordForm.jsx
2. Buscar usos de useEffect/setInterval/setTimeout — no existen.
3. En el JSX del step===1, no se renderiza ningún componente Timer/Countdown.",Funcional,N/A — análisis estático del código fuente (frontend),evidencia_v3/BUG-029.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-029,QA-2,BUG-020,US-08: Recuperación de contraseña — Validación del código OTP,4,Medio,P2,ForgotPasswordForm usa 1 input único para el OTP en vez de 6 inputs individuales,"La US-08 especifica: 'El sistema debe permitir ingresar el código OTP en 6 inputs individuales'. En ForgotPasswordForm.jsx (líneas 251-259) el código se ingresa en un único CustomTextField con maxLength=6, sin separación visual entre dígitos ni autofoco al siguiente campo. Esto afecta la usabilidad (no permite autocompletar OTP del SMS/email en iOS/Android) y rompe el contrato de aceptación de la US.","1. Abrir Examia-Frontend/src/presentation/components/ForgotPasswordForm.jsx
2. Ver render del Paso 2 (step===1): un solo <CustomTextField name=""code"" maxLength=6 />.
3. Confrontar con US-08 que pide 6 inputs individuales.",UI/UX,N/A — análisis estático del código fuente (frontend),evidencia_v3/BUG-030.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-030,QA-2,BUG-021,US-08: Recuperación de contraseña — Validación del código OTP,4,Medio,P2,Botón 'Reenviar código' no vuelve al Paso 1 como exige US-08,La US-08 establece: 'El sistema debe volver al Paso 1 al presionar Reenviar código'. En ForgotPasswordForm.jsx (líneas 276-294) el handler del botón solo invoca AuthService.forgotPassword(email) y se queda en el mismo step (step=1). El usuario no recibe feedback de re-envío correcto y no puede cambiar de email si lo escribió mal.,"1. Loguearse en /login y presionar 'Olvidé mi contraseña'.
2. Ingresar email y solicitar código → ir al Paso 2.
3. Click en 'Reenviar' → la app permanece en Paso 2 (esperado: volver a Paso 1).",Funcional,N/A — análisis estático del código fuente (frontend),evidencia_v3/BUG-031.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-031,QA-2,BUG-022,US-09: Recuperación de contraseña — Establecer nueva contraseña,4,Alto,P1,ForgotPasswordForm Paso 3 sin indicador de fortaleza ni feedback de requisitos,"La US-09 detalla múltiples criterios sobre el indicador de fortaleza de contraseña: 'El sistema debe mostrar un indicador de fortaleza de contraseña', '...en verde cuando la contraseña sea válida', 'niveles de fortaleza: débil en rojo, media en naranja'. El ForgotPasswordForm.jsx Paso 3 (líneas 297-350) tiene únicamente dos campos de contraseña y el botón submit. No hay barra de progreso, indicador de color, ni checklist de los requisitos (8+ chars, mayúscula, número). El usuario solo recibe error al enviar.","1. Completar Paso 1 y Paso 2 del flow de recuperación.
2. En Paso 3 escribir cualquier contraseña.
3. Verificar ausencia total de indicador de fortaleza, checks visuales o color de feedback.",UI/UX,N/A — análisis estático del código fuente (frontend),evidencia_v3/BUG-032.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-032,QA-2,BUG-023,US-09: Recuperación de contraseña — Establecer nueva contraseña,4,Alto,P1,Botón 'Restablecer contraseña' se habilita sin validar requisitos de la nueva contraseña,"La US-09 establece: 'El sistema debe habilitar el botón Guardar contraseña SOLO si ambas contraseñas coinciden Y cumplen los requisitos' y 'El sistema debe deshabilitar el botón si la contraseña no cumple los requisitos'. En ForgotPasswordForm.jsx línea 345 la condición es `disabled={loading || !password || !confirmPassword}` — únicamente chequea que los campos no estén vacíos. Permite enviar contraseñas débiles ('a' y 'a') que serán rechazadas por el backend, generando friction en lugar de prevenir el error en cliente.","1. Llegar al Paso 3 del flow de recuperación.
2. Ingresar 'a' en nueva contraseña y 'a' en confirmación.
3. Observar que el botón 'Restablecer contraseña' está habilitado.",Funcional,N/A — análisis estático del código fuente (frontend),evidencia_v3/BUG-033.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-033,QA-2,BUG-024,US-09: Recuperación de contraseña — Establecer nueva contraseña,4,Bajo,P3,ForgotPasswordForm Paso 3 sin validación inline de coincidencia mientras tipea,"La US-09 establece: 'El sistema debe mostrar un error inline si las contraseñas no coinciden'. En ForgotPasswordForm.jsx (línea 137-139) la comparación se ejecuta únicamente dentro del handler de submit (handleResetPassword), por lo que el usuario solo descubre el error tras hacer click en el botón. Falta el onChange/onBlur que muestre el helperText de error apenas los valores difieren.","1. En el Paso 3 ingresar 'PassW0rd!' en el primer campo.
2. Ingresar 'OtraPass1!' en el segundo (sin presionar submit).
3. Observar ausencia de indicador visual de no-coincidencia.",UI/UX,N/A — análisis estático del código fuente (frontend),evidencia_v3/BUG-034.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-034,QA-2,BUG-025,US-15: Configuración inicial del examen — Paso 1,4,Alto,P2,POST /api/exams acepta subjectId arbitrario sin validar contra catálogo de materias,"El endpoint POST /api/exams admite cualquier string como subjectId (ej: 'x', 'pepe', 'foo-bar') y crea el examen con HTTP 201. La US-15 establece que el docente debe completar 'nombre del examen, curso, turno y período' — el campo curso/subjectId debería ser una referencia válida al catálogo. Consecuencia: en el dashboard el subjectName aparece vacío/null y al filtrar por curso el examen no se asocia correctamente.","1. Loguearse como docente.
2. POST /api/exams con body que incluya ""subjectId"":""x"" (string inexistente).
3. Observar HTTP 201 con examen creado y subjectId='x' persistido.",Datos,N/A — test ejecutado vía curl + análisis estático de código,evidencia_v3/BUG-035.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-035,QA-2,BUG-027,US-12: Visualización del Dashboard de Mis Cursos,4,Alto,P2,RecentExams (dashboard docente) muestra datos hardcodeados en vez de exámenes reales del backend,"El componente RecentExams.jsx (líneas 14-46) define un array `recentExams` con datos estáticos hardcodeados: títulos 'Parcial 1 - Algoritmos II', 'Final - Programación', etc. y estados 'Publicado'/'Borrador'/'Activo' fijos. La US-12 establece: 'El sistema debe mostrar la tabla de exámenes recientes con nombre del examen, curso asociado, estado y cantidad de correcciones pendientes' — implicando datos reales del backend. El componente no realiza ninguna llamada API a /api/exams/my-exams. Resultado: el dashboard del docente es un mockup visual, no refleja el estado real de sus exámenes.","1. Abrir Examia-Frontend/src/presentation/pages/dashboard/docente/components/RecentExams.jsx
2. Ver array hardcoded de exámenes (línea 14-46).
3. Verificar ausencia de import de useEffect, ExamAPI o servicio similar.",Datos,N/A — análisis estático del código fuente (frontend),evidencia_v3/BUG-037.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-036,QA-2,BUG-028,Autorización por roles en endpoints protegidos,4,Medio,P2,POST /api/exams con body inválido como ALUMNO devuelve 400 (esperado 403): orden de validación expone schema,"Cuando un ALUMNO autenticado realiza POST /api/exams con un body que falla validación (p. ej., questions vacío), el sistema responde HTTP 400 con detalle de los errores de schema: {""errors"":{""questions"":""El examen debe tener al menos una pregunta""}}. El comportamiento correcto es responder 403 Forbidden ANTES de evaluar el cuerpo: un usuario sin rol DOCENTE no debe poder inferir el contrato de la API. Spring Boot aplica @Valid antes que @PreAuthorize por defecto. Con body válido sí devuelve 403 correcto.","1. Loguearse como ALUMNO y obtener token.
2. POST /api/exams con body inválido: {""title"":""X"",""subjectId"":""x"",""questions"":[]}
3. Observar HTTP 400 con errores de validación detallados, en lugar de 403.",Seguridad,N/A — test ejecutado vía curl + análisis estático de código,evidencia_v3/BUG-038.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-037,QA-2,BUG-029,US-01: Login del Docente con credenciales propias,4,Bajo,P3,GET /api/auth/login devuelve HTTP 500 en vez de 405 Method Not Allowed,"El endpoint /api/auth/login está definido solo para POST (AuthController.java línea 45). Acceder con GET (caso típico al pegar URL en la barra del navegador) devuelve HTTP 500 con 'Internal Server Error', sugiriendo que la excepción no está siendo manejada en el GlobalExceptionHandler. Lo esperado por estándar HTTP es 405 Method Not Allowed con header Allow: POST. Aunque no es crítico, contribuye a information disclosure y dificulta debugging.","1. Ejecutar: curl -sI https://examia-backend-1zwg.onrender.com/api/auth/login
2. Observar status 'HTTP/2 500'.",Funcional,N/A — test ejecutado vía curl + análisis estático de código,evidencia_v3/BUG-039.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
